Nom de la concession,Nom Puits (Operateur),UBHI,Nom du Borehole,Nom de la completion,Date de Production,Temps de production en  heurs,Production Gaz en  Sm3,Injection de Gaz  en  Sm3,Production Huile en m3,Production Eau en m3,Injection de l'eau en m3,Niveau stratigraphie de production,WHP (kPa),WHT (degC),Choke size,unite de mesure de Choke size,BHP (kPa),BHT (degC),Pression de casing (kPa),Pression ligne (line pressure) (kPa),Mode d'activation,Gaz lift rate (Sm3/d),Gaz lift pressure (kPa),ESP frequence (Htz),Stroke length (cm),Stroke number (n/minute),Remarque,Source
ABIR NEW,ABIR,0994-00,,ABR-001,2021-09-27 00:00:00,0,0,,0,,,T2/ T3a/T3b,202,,0,/64 in,,,,,,,,,,,,
ADAM NEW,Adam # 1,0879-00,,ADM-001,2021-09-27 00:00:00,,0,,0,,,(B1/2-A1-A1b-A2a-A3a-A3b-A5-A5a-A8a-A9),0,0,,"1/ 64""",,,,0,,,,,,,,
ADAM NEW,Adam # 2,0894-00,,ADM-002,2021-09-27 00:00:00,,0,,0,,,,0,0,0,"1/ 64""",,,,0,,,,,,,,
ADAM NEW,Adam # 3SS,0916-00,,ADM-003_SS,2021-09-27 00:00:00,,,,,,,(B1) - (A1) - (A3/A5) - (A8a) - (A9),100,0,0,"1/ 64""",,,,0,,,,,,,,
ADAM NEW,Adam # 3 LS,0916-00,,ADM-003_LS,2021-09-27 00:00:00,,0,,0,,,(B1) - (A1) - (A3/A5) - (A8a) - (A9-T2),1100,0,0,"1/ 64""",,,,0,,,,,,,,
ADAM NEW,Adam # 4,0933-00,,ADM-004,2021-09-27 00:00:00,,0,,0,,,A8+A5+A3+A9(plug leak),3000,0,0,"1/ 64""",,,,0,,,,,,,,
ADAM NEW,Adam # 6,0995-00,,ADM-006,2021-09-27 00:00:00,,0,,0,,,(B1) - (A1/A1bsup/A2a) - (A3a/A3b/A5) - (A8a/A8a_1),0,0,0,"1/ 64""",,,,0,,,,,,,,
ADAM NEW,Hawa # 1,0898-00,,HWA-001,2021-09-27 00:00:00,,0,,0,,,(A1) - (A1b/A1c/A2/A3) - (A9b) - (T2/T3),3500,0,0,"1/ 64""",,,,0,,,,,,,,
ADAM NEW,Hawa # 2,0909-00,,HWA-002,2021-09-27 00:00:00,,0,,0,,,(A1) - (A1b) - (A2a_1-A2b-A2d-A3b-A5_1-A7a_2) - (A8a-A9b),2100,0,0,"1/ 64""",,,,0,,,,,,,,
ADAM NEW,Hawa # 3 SS,0953-00,,HWA-003_SS,2021-09-27 00:00:00,,0,,0,,,B2-A1-A2-A3-A5-A7-A8,0,0,0,"1/ 64""",,,,0,,,,,,,,
ADAM NEW,Hawa # 3 LS,0953-00,,HWA-003_LS,2021-09-27 00:00:00,,,,,,,B2-A1-A2-A3-A5-A7-A8-A9-T3,0,0,0,"1/ 64""",,,,0,,,,,,,,
ADAM NEW,Karma 1,0958-00,,KMA-001,2021-09-27 00:00:00,,98639.60994448912,,100.68762143809279,,,(B2_1-B2_2) - (A1/A1a/A1b/A1c/A2a_1/A2c) - (A7b),3400,0,70,"1/ 64""",,,,2600,,,,,,,,
ADAM NEW,Karma 2,0991-00,,KMA-002,2021-09-27 00:00:00,,18756.328403489446,,29.400153198563984,,,(B2_1-B2_2) - (A1/A1a/A2c) - (A2d) - (A3b-A3c-A5_1) - (A7b),3100,0,160,"1/ 64""",,,,2700,,,,,,,,
ADAM NEW,Dalia # 1 LS,0902-00,,DLA-001_LS,2021-09-27 00:00:00,,0,,0,,,,5700,0,0,"1/ 64""",,,,0,,,,,,,,
ADAM NEW,Nour # 1 DIR,0924-01,,NUR-001_D1,2021-09-27 00:00:00,,142432.19046703697,,9.562953056522154,,,(A1)  -  (A1b/A2/A3),8400,0,34,"1/ 64""",,,,3700,,,,,,,,
