Nom Consession,Date,Remarque,Source,Production Gaz en k Sm3,Production Gaz en k Nm3,Gaz vendu (Steg) en K Sm3,Gaz vendu (Steg) en K Nm3,Gaz vendu (Steg) en TEP,Gaz vendu (Steg) HP en K Sm3,Gaz vendu (Steg) HP en K Nm3,Gaz vendu (Steg) HP en TEP,Gaz vendu (Steg) BP en K Sm3,Gaz vendu (Steg) BP en K Nm3,Gaz vendu (Steg) BP en TEP,Gaz vendu Off Spec (Steg) en k Nm3,Gaz vendu Off Spec (Steg) en k Sm3,Gaz vendu Riche en k Nm3,Gaz vendu Riche Supérieur en k Nm3,Gaz vendu hors contrat en k Nm3,Gaz Torché en k Sm3,Fuel Gas Consommé en k Sm3,Injection Gaz en k Sm3,PCS en Kcal/Nm3,PCS BP en Kcal/Nm3 ,PCS HP en Kcal/Nm3 ,Wobbe index,Production Huile en m3,Production Huile en Tonne,Densité Huile en g/cm3,Production GPL en m3,Production GPL en Tonne,Densité GPL en g/cm3,Production Butane en m3,Production Butane en Tonne,Densité Butane en g/cm3,Production Propane en m3,Production Propane en Tonne,Densité Propane en g/cm3,Production Pentane en m3,Production Pentane en Tonne,Densité Pentane en g/cm3,Production Eau en m3,Injection de l'Eau,salinite de l'eau injecte en mg/l,salinite de l'eau produit en mg/l,Production condensat en m3,Production condensat en Tonne,Injection Condensat en m3,Densité Condensat en g/cm3,Production de CO2 en K Sm3,PCS Gas vendu riche supérieur en Kcal/Nm3,PCS Gas vendu riche en Kcal/Nm3,Gaz Torché en k Nm3
ABIR NEW,2021-05-01 00:00:00,,,2784.247,2937.229670139559,,,,2074.185063,2188.152814173416,2267.991730833914,0,0,0,,,,,,0,,,,,10934.375004868667,,308.331,241.88557346499186,0.7844996885327516,,,,,,,,,,,,,,,,,0,,,,,,,0
ADAM NEW,2021-05-01 00:00:00,,,22549.651,23788.659543672737,,,,18380.061555000004,19389.968683934097,20106.304468305167,0,0,0,,,,,,0,,,,1,10939.193216594842,,12196.652999999998,9615.460783318464,0.788368807681785,,,,,,,,,,,,,,,,,0,,,,,,,0
ANAGUID EST NEW,2021-05-01 00:00:00,,,405.5287197960917,427.81081846502406,,,,,,,,,,,,,,,134.46930739167374,,,0,,,,1276.6566025742889,0,,,,,,,,,,,,,,,,,,,,,,,,,127.4656079854858
ASHTART NEW,2021-05-01 00:00:00,,,1996.1225150588439,1892.1996748553192,,,,,,,,,,,,,,,410.48519275960626,,,,,,,22178.997999999992,19398.232000000004,0.8746216578404493,,,,,,,,,,,,,,,,,,,,,,,,389.10548197991494
BAGUEL NEW,2021-05-01 00:00:00,,,5087.367759168208,5366.897234742539,4204.845417744,4435.884,4676.55288642,,,,,,,,,,,,156.95006006271254,,,10542.55,,,,4455.606,3550.2268607999995,0.7968,1205.4866765358995,651.445,0.5404,,,,,,,,,,,,,,,,,,,,,148.7754731344062
BARAKA NEW,2021-05-01 00:00:00,,,5328.705,5621.494942589871,4519.493,4767.820144400999,0,,,,,,,,,,,,118.592,,,9859.601840128777,,,,7958.023934445283,6266.291628390639,0.787418042470041,1181.249229190209,631.9510000000001,,,,,,,,,,,,,,,,,,,,,,112.415254272
BIR BEN TARTAR NEW,2021-05-01 00:00:00,,,593.395416,626,0,0,0,,,,,,,,,,,,,,,,,,,2328,1862.4,0.8,0,0,0,,,,,,,,,,,,,,,,,,,,,
BOCHRA NEW,2021-05-01 00:00:00,,,0,0,,,,0,0,0,0,0,0,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0
CERCINA/CERCINA SUD,2021-05-01 00:00:00,,,757.64590214976,799.27536,,,,,,,,,,,,,,,582.9579616,,,,,,,6772,5923.468400000001,0.8747,,,,,,,,,,,,,,,,,,,,,,,,552.5951791280256
CHERGUI NEW,2021-05-01 00:00:00,,,15709.27561768793,16572.434284987205,14988.935968740001,15812.515000000001,16021.812043828952,,,,,,,,,,,,,,,10132.361641287898,,,,1424.7363198355374,1023.7490317388914,0.7185533333333333,,,,,,,,,,,,,,,,,,,,,,,,
CHEROUQ NEW,2021-05-01 00:00:00,,,1326.5454892098555,1399.433588218635,,,,,,,,,,,,,,,604.1857121495326,,,,,,,8106.467503575401,0,,,,,,,,,,,,,,,,,,,,,,,,,572.7173035179363
DORRA NEW,2021-05-01 00:00:00,,,2336.6894497875955,2465.0807136788444,,,,,,,,,,,,,,,48.64411758708581,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,46.11053736668003
DOULEB NEW,2021-05-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,1265.343,1047.397,0.8277573748777999,,,,,,,,,,,,,,,,,,,,,,,,
EL FRANIG NEW,2021-05-01 00:00:00,,,4772.9945806372625,5035.2505713979535,4060851.289848,4283978,4516.405226389999,,,,,,,,,,,,,,,10542.55,,,,461.895,368.03793599999995,0.7968,1163.9988897113249,629.025,0.5404,,,,,,,,,,,,,,,,,,,,,
EL HAJEB GUEBIBA NEW,2021-05-01 00:00:00,,,237.578082912,250.632,,,,,,,,,,,,,,,237.578082912,,,,,,,12968.695375814397,11101.203241697123,0.856,,,,,,,,,,,,,,,,,,,,,,,,225.2040660416114
EZZAOUIA NEW,2021-05-01 00:00:00,,,15.112489371428572,15.942857142857143,0,0,0,,,,,,,,,,,,1.6643890398187708,,,0,,,,2201.112877583466,1793.0265500794912,0.8146,0,0,0,,,,,,,,,,,,,,,,,,,,,1.57770100106885
GHRIB NEW,2021-05-01 00:00:00,,,2037.450786525714,2149.40014360525,1677417,1769584.013773379,1524.9245454545455,,,,,,,,,,,,14.885924614910557,,,10542.72,,,,5268.29549195,4203.045751,0.797848346,635.825,343.614,0.5404222860063695,,,,,,,,,,,,,,,,,,,,,14.110606117267556
GREMDA NEW,2021-05-01 00:00:00,,,292.93243398144,309.02784,,,,,,,,,,,,,,,292.932585648,,,,,,,2015.0961385666612,1675.1494199904655,0.8313,,,,,,,,,,,,,,,,,,,,,,,,277.67548485710955
HASDRUBAL NEW,2021-05-01 00:00:00,,,21528.100761,22710.97941273286,20580.007109472,21710.792,216935.276,,,,,,,,,,,,,,,9992.048,,,,10837.134,7924.112,0.7312000000000001,,,,2.7387059999999996,1580.233,577,4877.840999999999,2.482821,509,,,,,,,,,,,,,,,
